"","NEGERI","variable","value","daily","Month","Year"
"226","MELAKA","Minggu.18.4",25,2014-05-02,2014-05-01,2014-01-01
"227","MELAKA","Minggu.19.4",23,2014-05-09,2014-05-01,2014-01-01
"228","MELAKA","Minggu.20.4",33,2014-05-16,2014-05-01,2014-01-01
"229","MELAKA","Minggu.21.4",NA,2014-05-23,2014-05-01,2014-01-01
"230","MELAKA","Minggu.22.4",23,2014-05-30,2014-05-01,2014-01-01
"231","MELAKA","Minggu.23.4",39,2014-06-06,2014-06-01,2014-01-01
"232","MELAKA","Minggu.24.4",42,2014-06-13,2014-06-01,2014-01-01
"233","MELAKA","Minggu.25.4",49,2014-06-20,2014-06-01,2014-01-01
"234","MELAKA","Minggu.26.4",NA,2014-06-27,2014-06-01,2014-01-01
"235","MELAKA","Minggu.27.4",NA,2014-07-04,2014-07-01,2014-01-01
"236","MELAKA","Minggu.28.4",NA,2014-07-11,2014-07-01,2014-01-01
"237","MELAKA","Minggu.29.4",NA,2014-07-18,2014-07-01,2014-01-01
"238","MELAKA","Minggu.30.4",NA,2014-07-25,2014-07-01,2014-01-01
"239","MELAKA","Minggu.31..4",34,2014-08-01,2014-08-01,2014-01-01
"240","MELAKA","Minggu.32.4",56,2014-08-08,2014-08-01,2014-01-01
"241","MELAKA","Minggu.33.4",55,2014-08-15,2014-08-01,2014-01-01
"242","MELAKA","Minggu.34.4",52,2014-08-22,2014-08-01,2014-01-01
"243","MELAKA","Minggu.35.4",61,2014-08-29,2014-08-01,2014-01-01
"244","MELAKA","Minggu.36.4",43,2014-09-05,2014-09-01,2014-01-01
"245","MELAKA","Minggu.37.4",59,2014-09-12,2014-09-01,2014-01-01
"246","MELAKA","Minggu.38.4",55,2014-09-19,2014-09-01,2014-01-01
"247","MELAKA","Minggu.39.4",73,2014-09-26,2014-09-01,2014-01-01
"248","MELAKA","Minggu.40.4",50,2014-10-03,2014-10-01,2014-01-01
"249","MELAKA","Minggu.41.4",42,2014-10-10,2014-10-01,2014-01-01
"250","MELAKA","Minggu.42.4",67,2014-10-17,2014-10-01,2014-01-01
"251","MELAKA","Minggu.43.4",59,2014-10-24,2014-10-01,2014-01-01
"252","MELAKA","Minggu.44.4",58,2014-10-31,2014-10-01,2014-01-01
"253","MELAKA","Minggu.45.4",75,2014-11-07,2014-11-01,2014-01-01
"254","MELAKA","Minggu.46.4",69,2014-11-14,2014-11-01,2014-01-01
"255","MELAKA","Minggu.47.4",62,2014-11-21,2014-11-01,2014-01-01
"256","MELAKA","Minggu.48.4",37,2014-11-28,2014-11-01,2014-01-01
"257","MELAKA","Minggu.49.4",36,2014-12-05,2014-12-01,2014-01-01
"258","MELAKA","Minggu.50.4",56,2014-12-12,2014-12-01,2014-01-01
"259","MELAKA","Minggu.51.4",45,2014-12-19,2014-12-01,2014-01-01
"260","MELAKA","Minggu.52.4",55,2014-12-26,2014-12-01,2014-01-01
"261","MELAKA","Minggu.1.5",48,2015-01-02,2015-01-01,2015-01-01
"262","MELAKA","Minggu.2.5",67,2015-01-09,2015-01-01,2015-01-01
"263","MELAKA","Minggu.3.5",53,2015-01-16,2015-01-01,2015-01-01
"264","MELAKA","Minggu.4.5",69,2015-01-23,2015-01-01,2015-01-01
"265","MELAKA","Minggu.5.5",55,2015-01-30,2015-01-01,2015-01-01
"266","MELAKA","Minggu.6.5",57,2015-02-06,2015-02-01,2015-01-01
"267","MELAKA","Minggu.7.5",34,2015-02-13,2015-02-01,2015-01-01
"268","MELAKA","Minggu.8.5",NA,2015-02-20,2015-02-01,2015-01-01
"269","MELAKA","Minggu.9.5",NA,2015-02-27,2015-02-01,2015-01-01
"270","MELAKA","Minggu.10.5",NA,2015-03-06,2015-03-01,2015-01-01
"271","MELAKA","Minggu.11.5",NA,2015-03-13,2015-03-01,2015-01-01
"272","MELAKA","Minggu.12.5",NA,2015-03-20,2015-03-01,2015-01-01
"273","MELAKA","Minggu.13.5",NA,2015-03-27,2015-03-01,2015-01-01
"274","MELAKA","Minggu.14.5",NA,2015-04-03,2015-04-01,2015-01-01
"275","MELAKA","Minggu.15.5",NA,2015-04-10,2015-04-01,2015-01-01
"276","MELAKA","Minggu.16.5",NA,2015-04-17,2015-04-01,2015-01-01
"277","MELAKA","Minggu.17.5",NA,2015-04-24,2015-04-01,2015-01-01
"278","MELAKA","Minggu.18.5",NA,2015-05-01,2015-05-01,2015-01-01
"279","MELAKA","Minggu.19.5",NA,2015-05-08,2015-05-01,2015-01-01
"280","MELAKA","Minggu.20.5",NA,2015-05-15,2015-05-01,2015-01-01
"281","MELAKA","Minggu.21.5",NA,2015-05-22,2015-05-01,2015-01-01
"282","MELAKA","Minggu.22.5",NA,2015-05-29,2015-05-01,2015-01-01
"283","MELAKA","Minggu.23.5",NA,2015-06-05,2015-06-01,2015-01-01
"284","MELAKA","Minggu.24.5",NA,2015-06-12,2015-06-01,2015-01-01
"285","MELAKA","Minggu.25.5",NA,2015-06-19,2015-06-01,2015-01-01
"286","MELAKA","Minggu.26.5",NA,2015-06-26,2015-06-01,2015-01-01
"287","MELAKA","Minggu.27.5",NA,2015-07-03,2015-07-01,2015-01-01
"288","MELAKA","Minggu.28.5",NA,2015-07-10,2015-07-01,2015-01-01
"289","MELAKA","Minggu.29.5",NA,2015-07-17,2015-07-01,2015-01-01
"290","MELAKA","Minggu.30.5",NA,2015-07-24,2015-07-01,2015-01-01
"291","MELAKA","Minggu.31..5",NA,2015-07-31,2015-07-01,2015-01-01
"292","MELAKA","Minggu.32.5",NA,2015-08-07,2015-08-01,2015-01-01
"293","MELAKA","Minggu.33.5",NA,2015-08-14,2015-08-01,2015-01-01
"294","MELAKA","Minggu.34.5",NA,2015-08-21,2015-08-01,2015-01-01
"295","MELAKA","Minggu.35.5",NA,2015-08-28,2015-08-01,2015-01-01
"296","MELAKA","Minggu.36.5",NA,2015-09-04,2015-09-01,2015-01-01
"297","MELAKA","Minggu.37.5",NA,2015-09-11,2015-09-01,2015-01-01
"298","MELAKA","Minggu.38.5",NA,2015-09-18,2015-09-01,2015-01-01
"299","MELAKA","Minggu.39.5",NA,2015-09-25,2015-09-01,2015-01-01
"300","MELAKA","Minggu.40.5",NA,2015-10-02,2015-10-01,2015-01-01
"301","MELAKA","Minggu.41.5",NA,2015-10-09,2015-10-01,2015-01-01
"302","MELAKA","Minggu.42.5",NA,2015-10-16,2015-10-01,2015-01-01
"303","MELAKA","Minggu.43.5",NA,2015-10-23,2015-10-01,2015-01-01
"304","MELAKA","Minggu.44.5",NA,2015-10-30,2015-10-01,2015-01-01
"305","MELAKA","Minggu.45.5",NA,2015-11-06,2015-11-01,2015-01-01
"306","MELAKA","Minggu.46.5",NA,2015-11-13,2015-11-01,2015-01-01
"307","MELAKA","Minggu.47.5",NA,2015-11-20,2015-11-01,2015-01-01
"308","MELAKA","Minggu.48.5",NA,2015-11-27,2015-11-01,2015-01-01
"309","MELAKA","Minggu.49.5",NA,2015-12-04,2015-12-01,2015-01-01
"310","MELAKA","Minggu.50.5",NA,2015-12-11,2015-12-01,2015-01-01
"311","MELAKA","Minggu.51.5",NA,2015-12-18,2015-12-01,2015-01-01
"312","MELAKA","Minggu.52.5",NA,2015-12-25,2015-12-01,2015-01-01
