"","NEGERI","variable","value"
"597","KELANTAN","Week 40",113.75
"598","SARAWAK","Week 40",63.25
"599","SABAH","Week 40",24.25
"600","LABUAN","Week 40",0.25
"601","PERLIS","Week 41",5
"602","KEDAH","Week 41",14.25
"603","PULAU PINANG","Week 41",40
"604","PERAK","Week 41",53.75
"605","SELANGOR","Week 41",322.25
"606","WPKL/PUTRAJAYA","Week 41",64
"607","N.SEMBILAN","Week 41",16.25
"608","MELAKA","Week 41",30.5
"609","JOHOR","Week 41",85.5
"610","PAHANG","Week 41",34.75
"611","TERENGGANU","Week 41",47
"612","KELANTAN","Week 41",78.25
"613","SARAWAK","Week 41",48.25
"614","SABAH","Week 41",18.5
"615","LABUAN","Week 41",0
"616","PERLIS","Week 42",5.8
"617","KEDAH","Week 42",13
"618","PULAU PINANG","Week 42",36.2
"619","PERAK","Week 42",56.8
"620","SELANGOR","Week 42",497.2
"621","WPKL/PUTRAJAYA","Week 42",66.8
"622","N.SEMBILAN","Week 42",20.4
"623","MELAKA","Week 42",44.6
"624","JOHOR","Week 42",102
"625","PAHANG","Week 42",31.6
"626","TERENGGANU","Week 42",35.6
"627","KELANTAN","Week 42",65.2
"628","SARAWAK","Week 42",44.6
"629","SABAH","Week 42",23.4
"630","LABUAN","Week 42",0
"631","PERLIS","Week 43",5
"632","KEDAH","Week 43",14.6
"633","PULAU PINANG","Week 43",36.2
"634","PERAK","Week 43",59.2
"635","SELANGOR","Week 43",534.4
"636","WPKL/PUTRAJAYA","Week 43",72
"637","N.SEMBILAN","Week 43",20.6
"638","MELAKA","Week 43",40
"639","JOHOR","Week 43",94.8
"640","PAHANG","Week 43",25.4
"641","TERENGGANU","Week 43",29
"642","KELANTAN","Week 43",50.4
"643","SARAWAK","Week 43",44.6
"644","SABAH","Week 43",19.2
"645","LABUAN","Week 43",0.2
"646","PERLIS","Week 44",2.4
"647","KEDAH","Week 44",14.2
"648","PULAU PINANG","Week 44",38
"649","PERAK","Week 44",59.6
"650","SELANGOR","Week 44",525.4
"651","WPKL/PUTRAJAYA","Week 44",63.4
"652","N.SEMBILAN","Week 44",23.4
"653","MELAKA","Week 44",35.2
"654","JOHOR","Week 44",92
"655","PAHANG","Week 44",31.6
"656","TERENGGANU","Week 44",27.4
"657","KELANTAN","Week 44",39
"658","SARAWAK","Week 44",46
"659","SABAH","Week 44",21.6
"660","LABUAN","Week 44",0.4
"661","PERLIS","Week 45",5
"662","KEDAH","Week 45",13.2
"663","PULAU PINANG","Week 45",42.2
"664","PERAK","Week 45",60.6
"665","SELANGOR","Week 45",499.6
"666","WPKL/PUTRAJAYA","Week 45",69
"667","N.SEMBILAN","Week 45",20.2
"668","MELAKA","Week 45",36.4
"669","JOHOR","Week 45",83.4
"670","PAHANG","Week 45",27.4
"671","TERENGGANU","Week 45",25.4
"672","KELANTAN","Week 45",38.4
"673","SARAWAK","Week 45",43.6
"674","SABAH","Week 45",19.4
"675","LABUAN","Week 45",0
"676","PERLIS","Week 46",6.4
"677","KEDAH","Week 46",17.8
"678","PULAU PINANG","Week 46",46.2
"679","PERAK","Week 46",78.8
"680","SELANGOR","Week 46",524
"681","WPKL/PUTRAJAYA","Week 46",60.8
"682","N.SEMBILAN","Week 46",18.6
"683","MELAKA","Week 46",35.8
"684","JOHOR","Week 46",84.8
"685","PAHANG","Week 46",34.2
"686","TERENGGANU","Week 46",24
"687","KELANTAN","Week 46",38.6
"688","SARAWAK","Week 46",42.2
"689","SABAH","Week 46",16.2
"690","LABUAN","Week 46",0.6
"691","PERLIS","Week 47",4.2
"692","KEDAH","Week 47",12.2
"693","PULAU PINANG","Week 47",49.8
"694","PERAK","Week 47",89.4
"695","SELANGOR","Week 47",555.6
"696","WPKL/PUTRAJAYA","Week 47",71.4
"697","N.SEMBILAN","Week 47",40
"698","MELAKA","Week 47",38
"699","JOHOR","Week 47",84.4
"700","PAHANG","Week 47",34
"701","TERENGGANU","Week 47",21.2
"702","KELANTAN","Week 47",35.6
"703","SARAWAK","Week 47",46
"704","SABAH","Week 47",19.6
"705","LABUAN","Week 47",0
"706","PERLIS","Week 48",5
"707","KEDAH","Week 48",15
"708","PULAU PINANG","Week 48",43.2
"709","PERAK","Week 48",115.4
"710","SELANGOR","Week 48",531
"711","WPKL/PUTRAJAYA","Week 48",55.2
"712","N.SEMBILAN","Week 48",34.8
"713","MELAKA","Week 48",32.6
"714","JOHOR","Week 48",84.2
"715","PAHANG","Week 48",29.2
"716","TERENGGANU","Week 48",22.8
"717","KELANTAN","Week 48",37.8
"718","SARAWAK","Week 48",44.6
"719","SABAH","Week 48",20.8
"720","LABUAN","Week 48",0
"721","PERLIS","Week 49",5.6
"722","KEDAH","Week 49",17.6
"723","PULAU PINANG","Week 49",48.2
"724","PERAK","Week 49",99.2
"725","SELANGOR","Week 49",582.2
"726","WPKL/PUTRAJAYA","Week 49",63
"727","N.SEMBILAN","Week 49",24.8
"728","MELAKA","Week 49",28.4
"729","JOHOR","Week 49",84.6
"730","PAHANG","Week 49",34.6
"731","TERENGGANU","Week 49",23
"732","KELANTAN","Week 49",36.4
"733","SARAWAK","Week 49",43.4
"734","SABAH","Week 49",20.8
"735","LABUAN","Week 49",0.8
"736","PERLIS","Week 50",5.4
"737","KEDAH","Week 50",16.6
"738","PULAU PINANG","Week 50",57.6
"739","PERAK","Week 50",107.4
"740","SELANGOR","Week 50",569.2
